Dataset: 12 files
  objects       image 01.jpg
  objects       image 02.jpg
  objects       image 03.jpg
  ui            image 01.jpg
  ui            image 02.jpg
  ui            image 03.jpg
  architecture  image 01.jpg
  architecture  image 02.jpg
  architecture  image 03.jpg
  pdfs          text  attention_is_all_you_need.pdf
  pdfs          text  bert.pdf
  pdfs          text  gpt3_few_shot_learners.pdf

Models: ['qwen3-vl:2b-instruct', 'qwen3.5-0.8b-Q4_K_M', 'qwen3.5-2b-Q4_K_M']
Reps per pair: 3
Total inferences: 108


=== qwen3-vl:2b-instruct (ollama) ===
  [qwen3-vl:2b-instruct   | objects      ] rep1 01.jpg                                     0.00s    4178MB  exception
  [qwen3-vl:2b-instruct   | objects      ] rep2 01.jpg                                     7.10s       0MB  OK
  [qwen3-vl:2b-instruct   | objects      ] rep3 01.jpg                                     2.48s       0MB  OK
  [qwen3-vl:2b-instruct   | objects      ] rep1 02.jpg                                     5.79s       0MB  OK
  [qwen3-vl:2b-instruct   | objects      ] rep2 02.jpg                                     2.06s       0MB  OK
  [qwen3-vl:2b-instruct   | objects      ] rep3 02.jpg                                     2.08s       0MB  OK
  [qwen3-vl:2b-instruct   | objects      ] rep1 03.jpg                                     5.92s       0MB  OK
  [qwen3-vl:2b-instruct   | objects      ] rep2 03.jpg                                     2.48s       0MB  OK
  [qwen3-vl:2b-instruct   | objects      ] rep3 03.jpg                                     2.20s       0MB  OK
  [qwen3-vl:2b-instruct   | ui           ] rep1 01.jpg                                     6.63s       0MB  OK
  [qwen3-vl:2b-instruct   | ui           ] rep2 01.jpg                                     2.93s       0MB  OK
  [qwen3-vl:2b-instruct   | ui           ] rep3 01.jpg                                     2.65s       0MB  OK
  [qwen3-vl:2b-instruct   | ui           ] rep1 02.jpg                                     5.64s       0MB  OK
  [qwen3-vl:2b-instruct   | ui           ] rep2 02.jpg                                     2.04s       0MB  OK
  [qwen3-vl:2b-instruct   | ui           ] rep3 02.jpg                                     2.09s       0MB  OK
  [qwen3-vl:2b-instruct   | ui           ] rep1 03.jpg                                     6.43s       0MB  OK
  [qwen3-vl:2b-instruct   | ui           ] rep2 03.jpg                                     2.41s       0MB  OK
  [qwen3-vl:2b-instruct   | ui           ] rep3 03.jpg                                     2.53s       0MB  OK
  [qwen3-vl:2b-instruct   | architecture ] rep1 01.jpg                                     6.09s       0MB  OK
  [qwen3-vl:2b-instruct   | architecture ] rep2 01.jpg                                     2.18s       0MB  OK
  [qwen3-vl:2b-instruct   | architecture ] rep3 01.jpg                                     2.53s       0MB  OK
  [qwen3-vl:2b-instruct   | architecture ] rep1 02.jpg                                     5.77s       0MB  OK
  [qwen3-vl:2b-instruct   | architecture ] rep2 02.jpg                                     2.43s       0MB  OK
  [qwen3-vl:2b-instruct   | architecture ] rep3 02.jpg                                     2.25s       0MB  OK
